WGTP,NP,RMSP,BDSP,HHT2,BATH,HHT,ACCESS,KIT,R65,R18,FES,R60,TEN,PUMA,ST,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
37,2,10,3,2,1,1,1,1,0,0,1,0,3,4110,36,
57,2,7,3,2,1,1,1,1,1,0,3,2,1,4110,36,
39,6,4,2,1,1,1,1,1,0,1,1,2,3,4110,36,
155,4,4,2,1,1,1,1,1,0,1,2,0,3,4110,36,
123,0,4,1,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
188,4,4,2,1,1,1,1,1,0,1,2,0,3,4110,36,
54,4,9,3,2,1,1,1,1,0,0,2,0,1,4110,36,
170,1,3,1,9,1,4,1,1,0,0,0,0,3,4110,36,
34,1,3,1,5,1,6,1,1,1,0,0,1,3,4110,36,
66,2,3,1,2,1,1,1,1,2,0,4,2,3,4110,36,
103,2,4,2,2,1,1,1,1,0,0,1,0,2,4110,36,
79,4,3,2,2,1,1,1,1,1,0,1,1,3,4110,36,
152,3,6,3,2,1,1,1,1,0,0,2,0,1,4110,36,
70,4,6,4,8,1,7,1,1,0,0,0,0,3,4110,36,
56,1,8,4,9,1,4,1,1,0,0,0,0,2,4110,36,
75,1,4,2,5,1,6,3,1,1,0,0,1,3,4110,36,
46,0,3,2,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
55,3,7,3,2,1,1,1,1,0,0,3,2,1,4110,36,
81,1,5,2,9,1,4,1,1,1,0,0,1,2,4110,36,
117,1,4,2,5,1,6,1,1,1,0,0,1,3,4110,36,
33,2,3,2,7,1,3,1,1,0,0,7,0,3,4110,36,
63,3,5,2,7,1,3,1,1,0,0,7,0,3,4110,36,
68,2,6,4,2,1,1,3,1,0,0,3,0,4,4110,36,
34,4,5,3,2,1,1,1,1,0,0,1,0,1,4110,36,
42,1,4,3,5,1,6,1,1,1,0,0,1,1,4110,36,
61,2,6,4,8,1,7,1,1,2,0,0,2,2,4110,36,
49,2,6,3,11,1,2,1,1,1,0,5,1,1,4110,36,
179,1,4,2,9,1,4,3,1,1,0,0,1,3,4110,36,
178,3,6,1,1,1,1,1,1,0,1,1,0,1,4110,36,
38,4,4,2,1,1,1,1,1,0,1,1,0,3,4110,36,
89,5,4,3,1,1,1,1,1,0,1,1,0,3,4110,36,
40,1,6,1,9,1,4,1,1,0,0,0,0,3,4110,36,
179,0,5,2,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
75,3,5,2,7,1,3,1,1,0,0,7,0,1,4110,36,
166,2,4,2,8,1,7,1,1,0,0,0,0,3,4110,36,
96,2,6,3,7,1,3,1,1,0,0,7,1,3,4110,36,
57,4,1,0,1,1,1,1,1,0,1,2,0,1,4110,36,
141,7,5,2,1,1,1,1,1,1,1,1,2,3,4110,36,
39,2,7,3,2,1,1,1,1,2,0,4,2,1,4110,36,
35,2,5,2,7,1,3,1,1,0,0,7,0,1,4110,36,
33,1,6,3,9,1,4,1,1,0,0,0,0,3,4110,36,
58,2,6,3,2,1,1,1,1,2,0,4,2,2,4110,36,
110,1,3,1,9,1,4,1,1,0,0,0,0,3,4110,36,
57,2,3,1,2,1,1,1,1,0,0,1,0,3,4110,36,
58,4,3,2,1,1,1,1,1,0,1,1,0,1,4110,36,
34,1,5,3,5,1,6,1,1,1,0,0,1,3,4110,36,
65,4,4,2,1,1,1,1,1,0,1,1,0,3,4110,36,
39,3,7,3,2,1,1,1,1,0,0,1,0,1,4110,36,
58,2,9,3,7,1,3,1,1,1,0,8,2,2,4110,36,
39,4,5,3,2,1,1,1,1,2,0,3,2,1,4110,36,
168,5,6,3,1,1,1,1,1,0,1,1,0,4,4110,36,
33,0,2,1,0,1,0,0,2,-1,-1,0,-1,0,4110,36,
58,4,6,3,1,1,1,1,1,0,1,2,0,2,4110,36,
103,2,5,2,2,1,1,1,1,0,0,1,0,3,4110,36,
54,3,6,3,1,1,1,1,1,0,1,2,0,1,4110,36,
87,2,4,1,4,1,5,1,1,0,0,0,0,3,4110,36,
36,4,5,2,1,1,1,1,1,0,1,1,0,1,4110,36,
61,0,4,2,0,1,0,0,2,-1,-1,0,-1,0,4110,36,
129,0,5,2,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
67,3,6,3,8,1,7,1,1,0,0,0,0,3,4110,36,
210,4,4,2,1,1,1,1,1,0,1,2,0,3,4110,36,
31,1,5,2,5,1,6,3,1,1,0,0,1,2,4110,36,
37,2,3,2,4,1,7,1,1,0,0,0,0,3,4110,36,
89,1,2,1,9,1,4,3,1,0,0,0,0,3,4110,36,
50,4,7,3,1,1,1,1,1,0,1,1,0,1,4110,36,
50,2,2,1,4,1,5,1,1,1,0,0,1,2,4110,36,
67,1,4,3,9,1,4,1,1,0,0,0,0,1,4110,36,
60,2,5,2,2,1,1,3,1,2,0,4,2,3,4110,36,
57,1,4,2,9,1,4,1,1,0,0,0,0,3,4110,36,
69,4,7,3,1,1,1,1,1,1,1,1,1,3,4110,36,
91,2,3,2,12,1,5,1,1,0,0,0,0,3,4110,36,
154,4,8,3,4,1,5,1,1,0,1,0,1,2,4110,36,
217,3,8,4,2,1,1,1,1,1,0,3,2,2,4110,36,
98,3,11,5,2,1,1,1,1,1,0,3,1,2,4110,36,
76,1,4,2,9,1,4,1,1,0,0,0,1,3,4110,36,
54,8,6,3,1,1,1,1,1,0,1,2,2,2,4110,36,
140,2,5,3,11,1,2,3,1,1,0,6,2,3,4110,36,
52,3,7,3,1,1,1,1,1,0,1,1,0,1,4110,36,
81,2,4,2,7,1,3,1,1,0,0,7,0,3,4110,36,
141,3,4,2,1,1,1,2,1,0,1,2,0,3,4110,36,
54,1,6,3,5,1,6,3,1,1,0,0,1,2,4110,36,
66,3,5,2,2,1,1,1,1,0,0,1,2,1,4110,36,
46,1,6,3,5,1,6,3,1,1,0,0,1,2,4110,36,
64,2,5,1,11,1,2,1,1,0,0,5,0,2,4110,36,
82,3,4,2,2,1,1,1,1,2,0,3,2,3,4110,36,
57,3,4,2,2,1,1,1,1,0,0,2,0,2,4110,36,
41,2,5,2,2,1,1,3,1,2,0,4,2,2,4110,36,
59,2,3,2,2,1,1,1,1,0,0,2,0,3,4110,36,
102,0,3,1,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
48,1,2,1,9,1,4,1,1,0,0,0,0,2,4110,36,
50,1,6,3,5,1,6,3,1,1,0,0,1,2,4110,36,
176,1,6,3,5,1,6,3,1,0,0,0,0,1,4110,36,
132,1,3,1,5,1,6,1,1,0,0,0,0,3,4110,36,
141,5,5,3,1,1,1,1,1,0,1,2,0,3,4110,36,
80,3,6,2,12,1,5,1,1,1,0,0,1,1,4110,36,
33,9,6,3,1,1,1,1,1,1,1,1,1,1,4110,36,
173,1,4,2,5,1,6,1,1,0,0,0,0,3,4110,36,
77,2,4,2,2,1,1,1,1,1,0,3,1,3,4110,36,
88,1,2,1,5,1,6,3,2,1,0,0,1,3,4110,36,
98,5,6,2,1,1,1,1,1,0,1,1,0,1,4110,36,
48,2,4,2,11,1,2,1,1,1,0,5,1,3,4110,36,
71,5,6,3,1,1,1,1,1,0,1,2,0,3,4110,36,
95,5,4,3,1,1,1,1,1,0,1,1,0,3,4110,36,
54,2,9,3,2,1,1,1,1,2,0,3,2,2,4110,36,
61,0,4,2,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
115,3,6,3,4,1,3,1,1,0,0,7,1,1,4110,36,
143,2,3,2,8,1,7,1,1,0,0,0,0,3,4110,36,
46,3,6,3,2,1,1,1,1,0,0,1,0,1,4110,36,
44,2,5,2,4,1,5,1,1,0,0,0,0,1,4110,36,
36,6,6,3,6,1,3,2,1,0,1,8,0,3,4110,36,
197,3,4,2,7,1,3,1,1,0,0,8,0,3,4110,36,
60,5,1,0,1,1,1,1,1,0,1,1,0,3,4110,36,
70,7,7,2,1,1,1,1,1,0,1,2,0,1,4110,36,
45,3,8,4,1,1,1,1,1,0,1,1,0,1,4110,36,
83,2,4,2,2,1,1,1,1,0,0,4,1,2,4110,36,
63,2,7,5,2,1,1,1,1,1,0,4,2,1,4110,36,
49,5,12,4,2,1,1,1,1,2,0,4,2,2,4110,36,
35,2,5,3,2,1,1,3,1,2,0,4,2,1,4110,36,
40,3,4,2,11,1,2,3,1,1,0,5,1,1,4110,36,
89,2,5,2,2,1,1,1,1,0,0,4,2,2,4110,36,
62,1,2,1,9,1,4,1,1,1,0,0,1,3,4110,36,
101,2,3,1,7,1,3,1,1,0,0,7,0,3,4110,36,
46,4,3,1,4,1,7,1,1,0,0,0,0,3,4110,36,
59,1,3,1,5,1,6,3,1,1,0,0,1,2,4110,36,
90,2,4,2,2,1,1,1,1,2,0,4,2,2,4110,36,
121,2,8,3,11,1,2,3,1,1,0,6,1,2,4110,36,
49,3,5,3,6,1,3,1,1,0,1,7,0,3,4110,36,
26,3,6,3,8,1,7,1,1,0,0,0,0,3,4110,36,
81,4,9,3,1,1,1,1,1,0,1,2,0,3,4110,36,
73,2,3,2,8,1,7,1,1,0,0,0,0,3,4110,36,
60,1,4,1,9,1,4,1,1,0,0,0,0,3,4110,36,
67,3,5,3,6,1,3,1,1,0,1,7,0,3,4110,36,
72,2,5,2,11,1,2,1,1,1,0,5,1,3,4110,36,
40,4,7,3,1,1,1,1,1,0,1,1,0,2,4110,36,
52,4,6,3,1,1,1,1,1,0,1,2,0,2,4110,36,
39,3,4,1,1,1,1,1,1,0,1,1,0,1,4110,36,
111,6,8,3,6,1,3,1,1,0,1,7,0,3,4110,36,
78,3,6,2,1,1,1,1,1,0,1,1,0,3,4110,36,
61,2,5,2,2,1,1,3,1,2,0,3,2,2,4110,36,
33,4,9,4,2,1,1,1,1,0,0,1,0,2,4110,36,
39,2,6,2,11,1,2,1,1,0,0,6,1,3,4110,36,
80,5,5,3,2,1,1,1,1,0,1,1,1,3,4110,36,
71,1,3,2,9,1,4,3,1,1,0,0,1,2,4110,36,
31,1,6,3,5,1,6,1,1,1,0,0,1,2,4110,36,
81,0,4,2,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
78,2,4,2,7,1,3,1,1,0,0,7,0,3,4110,36,
222,0,3,1,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
52,4,7,3,6,1,3,1,1,0,1,8,0,1,4110,36,
175,1,4,2,5,1,6,1,1,1,0,0,1,2,4110,36,
73,2,3,1,2,1,1,1,1,1,0,4,1,3,4110,36,
34,2,4,3,4,1,7,1,1,0,0,0,0,2,4110,36,
71,4,5,3,1,1,1,1,1,0,1,1,0,3,4110,36,
62,2,3,1,4,1,7,1,1,0,0,0,0,3,4110,36,
172,5,5,2,3,1,3,1,1,0,1,7,0,3,4110,36,
61,2,3,1,2,1,1,1,1,0,0,1,0,3,4110,36,
67,2,6,3,12,1,5,1,1,0,0,0,0,4,4110,36,
166,3,4,2,2,1,1,1,1,0,0,2,0,3,4110,36,
37,2,5,1,2,1,1,3,1,2,0,4,2,2,4110,36,
44,1,4,1,9,1,4,1,1,0,0,0,0,2,4110,36,
68,3,5,2,1,1,1,1,1,0,1,2,0,2,4110,36,
67,3,4,2,6,1,3,3,1,0,1,8,0,3,4110,36,
50,2,12,6,2,1,1,1,1,0,0,2,0,1,4110,36,
39,5,8,2,1,1,1,1,1,0,1,1,0,1,4110,36,
25,4,7,3,1,1,1,1,1,0,1,1,0,2,4110,36,
155,5,5,3,1,1,1,1,1,0,1,1,0,3,4110,36,
32,2,5,3,2,1,1,1,1,1,0,2,2,2,4110,36,
185,3,5,3,2,1,1,1,1,2,0,4,2,2,4110,36,
75,5,7,3,3,1,3,1,1,1,1,7,1,3,4110,36,
38,0,12,4,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
119,4,5,2,7,1,3,1,1,1,0,8,1,3,4110,36,
84,1,4,1,9,1,4,1,1,0,0,0,0,3,4110,36,
66,3,4,3,2,1,1,1,1,0,0,1,0,1,4110,36,
201,4,5,3,1,1,1,1,1,0,1,1,0,3,4110,36,
152,1,3,1,9,1,4,1,1,0,0,0,0,3,4110,36,
34,4,8,3,1,1,1,1,1,0,1,2,0,2,4110,36,
70,6,6,4,1,1,1,1,1,0,1,1,0,3,4110,36,
71,3,6,3,8,1,7,1,1,0,0,0,0,3,4110,36,
58,4,6,2,2,1,1,1,1,0,0,1,1,2,4110,36,
72,2,5,2,2,1,1,1,1,0,0,1,0,4,4110,36,
78,4,4,2,1,1,1,2,1,0,1,1,0,3,4110,36,
75,4,4,2,3,1,2,1,1,0,1,5,0,3,4110,36,
77,4,5,3,1,1,1,1,1,0,1,1,0,1,4110,36,
58,1,16,5,9,1,4,1,1,0,0,0,0,2,4110,36,
89,1,1,0,5,1,6,3,1,1,0,0,1,3,4110,36,
51,3,5,4,1,1,1,1,1,0,1,1,0,3,4110,36,
76,1,5,2,9,1,4,1,1,1,0,0,1,2,4110,36,
54,4,6,3,2,1,1,1,1,0,0,2,0,3,4110,36,
73,1,6,3,5,1,6,1,1,0,0,0,0,3,4110,36,
86,2,6,2,2,1,1,1,1,0,0,1,1,3,4110,36,
138,2,7,3,2,1,1,1,1,1,0,4,2,2,4110,36,
40,1,6,3,9,1,4,1,1,0,0,0,0,1,4110,36,
30,4,6,3,2,1,1,1,1,0,0,1,0,2,4110,36,
109,2,2,1,4,1,7,1,1,0,0,0,0,3,4110,36,
41,4,6,3,1,1,1,1,1,0,1,1,0,1,4110,36,
35,2,7,3,2,1,1,1,1,0,0,1,2,2,4110,36,
54,2,7,2,11,1,2,1,1,1,0,6,2,1,4110,36,
64,1,5,2,5,1,6,1,1,1,0,0,1,2,4110,36,
35,2,5,3,2,1,1,1,1,0,0,1,0,1,4110,36,
152,3,4,2,1,1,1,1,1,0,1,1,0,3,4110,36,
40,2,16,4,2,1,1,1,1,0,0,0,1,2,4110,36,
168,1,4,1,9,1,4,1,1,0,0,0,1,3,4110,36,
49,2,6,2,2,1,1,1,1,2,0,4,2,2,4110,36,
41,1,5,2,5,1,6,1,1,0,0,0,0,1,4110,36,
82,3,5,2,1,1,1,1,1,0,1,1,0,1,4110,36,
166,0,4,1,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
67,3,5,3,7,1,3,1,1,1,0,7,2,3,4110,36,
30,1,3,1,9,1,4,1,1,0,0,0,0,3,4110,36,
75,4,3,2,1,1,1,1,1,0,1,1,0,3,4110,36,
180,2,5,2,12,1,5,1,1,0,0,0,0,3,4110,36,
72,2,4,2,8,1,7,1,1,0,0,0,0,3,4110,36,
47,2,6,3,7,1,3,1,1,0,0,7,0,3,4110,36,
101,4,4,2,7,1,3,1,1,0,1,8,1,3,4110,36,
40,4,5,3,2,1,1,1,1,1,0,1,2,2,4110,36,
60,2,6,3,2,1,1,1,1,0,0,1,0,3,4110,36,
70,1,2,1,5,1,6,1,1,0,0,0,0,3,4110,36,
66,3,6,3,2,1,1,1,1,0,0,3,1,3,4110,36,
62,4,5,2,3,1,3,1,1,0,1,7,0,3,4110,36,
262,1,4,2,5,1,6,3,1,1,0,0,1,4,4110,36,
53,2,4,2,2,1,1,1,1,2,0,4,2,2,4110,36,
171,3,5,2,7,1,3,1,1,1,0,8,1,4,4110,36,
106,1,4,2,9,1,4,1,1,1,0,0,1,3,4110,36,
95,7,11,5,1,1,1,1,1,1,1,1,1,1,4110,36,
46,4,4,2,1,1,1,1,1,0,1,1,0,1,4110,36,
57,4,6,3,2,1,1,1,1,2,0,2,2,3,4110,36,
229,3,5,2,2,1,1,1,1,0,0,1,0,2,4110,36,
56,1,6,3,5,1,6,1,1,1,0,0,1,2,4110,36,
30,1,1,0,9,1,4,1,1,0,0,0,0,3,4110,36,
79,2,3,1,2,1,1,1,1,0,0,0,0,3,4110,36,
96,5,6,4,1,1,1,1,1,0,1,1,0,3,4110,36,
304,1,3,1,5,1,6,1,1,0,0,0,0,3,4110,36,
79,5,5,3,1,1,1,1,1,0,1,2,0,1,4110,36,
55,4,4,2,2,1,1,3,1,0,0,4,2,2,4110,36,
64,5,7,4,1,1,1,1,1,0,1,2,0,1,4110,36,
82,3,7,4,2,1,1,1,1,0,0,1,1,1,4110,36,
36,3,7,3,1,1,1,1,1,0,1,2,0,1,4110,36,
81,4,4,2,1,1,1,1,1,0,1,1,0,3,4110,36,
43,2,6,3,6,1,3,1,1,0,1,7,0,4,4110,36,
40,5,3,2,1,1,1,1,1,2,1,1,2,3,4110,36,
119,2,4,2,2,1,1,3,1,2,0,4,2,3,4110,36,
38,0,6,3,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
49,4,5,2,1,1,1,1,1,0,1,1,0,1,4110,36,
130,0,6,3,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
67,2,9,2,4,1,7,1,1,0,0,0,0,3,4110,36,
108,0,5,2,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
66,4,4,2,1,1,1,1,1,0,1,2,0,3,4110,36,
55,1,4,2,5,1,6,3,1,1,0,0,1,2,4110,36,
