WGTP,NP,RMSP,BDSP,HHT2,BATH,HHT,ACCESS,KIT,R65,R18,FES,R60,TEN,PUMA,ST,
54,9,6,3,1,1,1,1,1,1,1,2,1,2,4110,36,
45,1,8,3,5,1,6,1,1,0,0,0,1,2,4110,36,
34,2,2,1,12,1,5,1,1,1,0,0,1,1,4110,36,
48,1,6,3,5,1,6,1,1,1,0,0,1,2,4110,36,
54,2,6,3,11,1,2,1,1,1,0,6,1,2,4110,36,
86,2,6,2,4,1,7,1,1,0,0,0,0,3,4110,36,
47,2,8,3,2,1,1,1,1,2,0,4,2,2,4110,36,
121,0,5,2,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
50,8,6,3,2,1,1,1,1,1,1,3,2,1,4110,36,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
39,1,6,3,5,1,6,1,1,1,0,0,1,1,4110,36,
101,1,2,1,9,1,4,3,1,1,0,0,1,2,4110,36,
52,2,5,3,6,1,3,1,1,0,1,8,0,1,4110,36,
122,4,8,3,1,1,1,1,1,0,1,2,0,2,4110,36,
153,3,1,0,6,1,3,1,1,0,1,7,0,3,4110,36,
119,2,6,3,7,1,3,3,1,1,0,8,1,2,4110,36,
204,3,4,2,1,1,1,1,1,0,1,1,0,3,4110,36,
82,2,3,2,2,1,1,1,1,0,0,1,0,3,4110,36,
69,1,5,1,5,1,6,1,2,0,0,0,1,2,4110,36,
104,0,4,2,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
208,0,5,2,0,1,0,0,2,-1,-1,0,-1,0,4110,36,
185,0,6,3,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
42,1,3,1,9,1,4,3,1,0,0,0,1,4,4110,36,
181,1,3,1,9,1,4,1,1,0,0,0,0,3,4110,36,
38,2,5,2,4,1,7,1,1,0,0,0,0,1,4110,36,
39,2,6,3,2,1,1,3,1,2,0,4,2,2,4110,36,
57,1,3,1,5,1,6,3,1,1,0,0,1,2,4110,36,
57,1,4,2,5,1,6,3,1,1,0,0,1,2,4110,36,
80,4,6,3,1,1,1,1,1,0,1,1,0,3,4110,36,
92,1,6,3,9,1,4,1,1,0,0,0,0,4,4110,36,
45,1,10,4,5,1,6,3,1,1,0,0,1,2,4110,36,
38,6,6,3,2,1,1,1,1,2,1,3,2,1,4110,36,
37,4,5,3,2,1,1,1,1,2,0,1,2,1,4110,36,
53,1,5,2,5,1,6,1,1,1,0,0,1,2,4110,36,
190,6,5,3,1,1,1,1,1,0,1,1,0,3,4110,36,
125,1,2,1,9,1,4,1,1,0,0,0,0,3,4110,36,
75,2,4,2,12,1,5,1,2,1,0,0,2,3,4110,36,
41,3,11,3,2,1,1,1,1,2,0,4,2,2,4110,36,
47,3,6,3,7,1,3,1,1,0,0,7,0,3,4110,36,
38,3,5,3,2,1,1,1,1,2,0,4,2,2,4110,36,
131,3,4,2,2,1,1,1,1,0,0,2,0,3,4110,36,
41,4,8,3,1,1,1,1,1,0,1,1,0,1,4110,36,
286,2,4,2,6,1,3,1,1,0,1,8,0,3,4110,36,
119,5,5,2,11,1,2,1,1,0,1,6,0,3,4110,36,
61,2,6,3,2,1,1,1,1,2,0,4,2,2,4110,36,
68,3,4,3,11,1,2,1,1,0,0,5,1,3,4110,36,
71,2,4,2,7,1,3,1,1,1,1,8,1,2,4110,36,
53,4,4,3,2,1,1,1,1,0,1,1,0,2,4110,36,
177,0,5,3,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
63,2,5,2,2,1,1,1,1,2,0,4,2,2,4110,36,
85,3,4,2,3,1,3,1,1,0,1,7,0,3,4110,36,
171,4,6,3,1,1,1,1,1,0,1,1,0,1,4110,36,
128,1,4,2,5,1,6,1,1,1,0,0,1,3,4110,36,
81,4,11,4,1,1,1,1,1,0,1,1,0,1,4110,36,
138,3,3,1,1,1,1,1,1,0,1,2,0,3,4110,36,
76,3,5,2,2,1,1,1,1,0,0,1,0,3,4110,36,
162,0,4,2,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
163,3,5,3,12,1,5,1,1,0,0,0,0,3,4110,36,
135,1,5,2,5,1,6,1,1,1,0,0,1,2,4110,36,
40,2,3,1,2,1,1,1,1,0,0,1,0,3,4110,36,
36,2,6,3,2,1,1,1,1,2,0,4,2,2,4110,36,
181,1,10,3,5,1,6,1,1,0,0,0,0,1,4110,36,
88,4,4,1,1,1,1,1,1,0,1,2,0,2,4110,36,
56,6,7,3,7,1,3,1,1,1,1,7,2,1,4110,36,
49,1,8,3,9,1,4,3,1,1,0,0,1,1,4110,36,
84,2,1,0,4,1,5,1,1,0,0,0,0,3,4110,36,
98,3,4,2,1,1,1,1,1,0,1,1,0,3,4110,36,
259,6,4,2,1,1,1,3,1,0,1,1,0,3,4110,36,
43,1,10,2,5,1,6,1,1,0,0,0,0,2,4110,36,
33,5,6,3,1,1,1,1,1,0,1,1,0,1,4110,36,
73,1,6,3,5,1,6,3,1,1,0,0,1,2,4110,36,
74,5,4,2,1,1,1,1,1,0,1,2,0,3,4110,36,
39,2,5,1,7,1,3,3,1,2,0,8,2,1,4110,36,
61,0,4,3,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
68,1,8,2,5,1,6,1,1,0,0,0,0,3,4110,36,
37,2,4,1,2,1,1,1,1,2,0,4,2,2,4110,36,
42,2,6,2,8,1,7,1,1,0,0,0,0,2,4110,36,
68,2,2,1,2,1,1,1,1,0,0,1,0,3,4110,36,
79,4,5,3,2,1,1,1,1,0,0,1,0,3,4110,36,
66,4,5,2,2,1,1,1,1,0,0,1,0,2,4110,36,
75,1,6,2,9,1,4,1,1,1,0,0,1,2,4110,36,
46,2,5,2,2,1,1,1,1,2,0,4,2,1,4110,36,
125,0,7,4,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
35,2,8,3,8,1,7,1,1,1,0,0,1,2,4110,36,
70,4,16,5,8,1,7,1,1,2,0,0,2,2,4110,36,
56,5,9,6,2,1,1,1,1,2,0,1,2,1,4110,36,
42,1,3,2,5,1,6,1,1,1,0,0,1,2,4110,36,
67,3,6,3,2,1,1,1,1,1,0,1,2,3,4110,36,
161,4,4,1,11,1,2,1,1,0,1,5,0,3,4110,36,
169,0,5,2,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
213,1,5,3,5,1,6,1,1,1,0,0,1,1,4110,36,
92,1,2,1,9,1,4,1,1,0,0,0,0,3,4110,36,
75,1,1,0,9,1,4,1,1,0,0,0,0,3,4110,36,
42,1,6,3,5,1,6,1,1,1,0,0,1,2,4110,36,
66,3,3,2,1,1,1,1,1,0,1,1,0,1,4110,36,
66,4,6,3,11,1,2,2,1,1,0,6,1,2,4110,36,
76,4,5,2,1,1,1,1,1,0,1,1,0,1,4110,36,
40,2,6,3,2,1,1,1,1,2,0,3,2,2,4110,36,
62,6,7,5,2,1,1,1,1,0,0,2,1,2,4110,36,
30,2,7,3,2,1,1,1,1,2,0,4,2,2,4110,36,
63,5,5,3,3,1,3,1,1,0,1,7,0,3,4110,36,
58,5,8,4,2,1,1,1,1,2,0,2,2,1,4110,36,
60,3,6,3,1,1,1,1,1,0,1,1,0,2,4110,36,
41,0,1,0,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
33,4,6,4,2,1,1,1,1,0,0,3,0,1,4110,36,
79,1,4,3,9,1,4,1,1,0,0,0,0,3,4110,36,
103,0,4,2,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
106,0,4,2,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
57,3,5,3,11,1,2,1,1,1,0,6,1,3,4110,36,
111,1,5,2,5,1,6,3,1,1,0,0,1,2,4110,36,
36,2,5,1,4,1,7,1,1,0,0,0,0,3,4110,36,
38,6,5,3,1,1,1,1,1,0,1,2,0,3,4110,36,
57,2,4,1,12,1,5,1,1,0,0,0,1,2,4110,36,
236,5,6,3,7,1,3,1,1,0,1,7,0,3,4110,36,
244,9,5,2,1,1,1,1,1,0,1,1,0,1,4110,36,
55,1,3,1,5,1,6,1,1,0,0,0,0,3,4110,36,
66,3,6,3,3,1,3,1,1,0,1,7,0,2,4110,36,
53,4,4,2,1,1,1,1,1,0,1,1,0,3,4110,36,
68,1,1,0,5,1,6,1,1,0,0,0,0,3,4110,36,
53,2,3,1,4,1,5,1,1,0,0,0,0,3,4110,36,
162,1,3,1,5,1,6,1,1,1,0,0,1,1,4110,36,
152,4,5,3,1,1,1,1,1,0,1,2,0,3,4110,36,
88,0,4,2,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
119,4,5,3,2,1,1,1,1,0,0,1,0,1,4110,36,
51,5,4,3,1,1,1,1,1,1,1,2,1,3,4110,36,
137,2,5,3,2,1,1,1,1,0,0,3,0,1,4110,36,
79,3,4,2,2,1,1,1,1,0,0,1,0,1,4110,36,
46,2,13,5,2,1,1,1,1,1,0,4,2,1,4110,36,
42,1,5,2,5,1,6,3,1,1,0,0,1,1,4110,36,
38,6,4,2,1,1,1,1,1,0,1,1,0,2,4110,36,
149,4,4,2,6,1,3,1,1,0,1,7,0,3,4110,36,
38,3,5,2,7,1,3,1,1,0,0,7,0,1,4110,36,
40,2,5,2,12,1,5,3,1,0,0,0,2,4,4110,36,
46,4,5,2,2,1,1,1,1,0,0,3,2,2,4110,36,
32,3,4,2,2,1,1,1,1,0,0,1,0,1,4110,36,
166,2,3,1,4,1,5,1,1,0,0,0,0,3,4110,36,
110,4,5,3,2,1,1,1,1,0,0,1,0,1,4110,36,
44,1,4,2,9,1,4,1,1,0,0,0,1,3,4110,36,
61,1,3,1,5,1,6,3,1,1,0,0,1,2,4110,36,
63,3,8,3,2,1,1,1,1,1,0,4,1,2,4110,36,
41,3,5,2,1,1,1,1,1,0,1,1,0,3,4110,36,
71,5,4,3,2,1,1,1,1,0,0,4,0,3,4110,36,
41,2,6,2,11,1,2,1,2,0,0,5,0,2,4110,36,
153,2,4,2,6,1,3,1,1,0,1,7,0,3,4110,36,
240,2,3,1,2,1,1,1,1,0,0,3,0,3,4110,36,
100,1,6,4,9,1,4,1,1,0,0,0,0,3,4110,36,
69,2,6,3,7,1,3,1,1,0,0,8,2,2,4110,36,
35,1,11,5,9,1,4,1,1,1,0,0,1,2,4110,36,
226,1,3,1,9,1,4,3,1,0,0,0,1,3,4110,36,
134,4,5,2,1,1,1,1,1,0,1,1,0,3,4110,36,
61,3,9,3,7,1,3,1,1,1,0,8,1,2,4110,36,
35,4,8,2,2,1,1,1,1,0,1,1,0,1,4110,36,
34,1,3,1,9,1,4,3,1,1,0,0,1,3,4110,36,
43,4,9,3,2,1,1,1,1,2,0,4,2,2,4110,36,
62,4,7,3,1,1,1,1,1,0,1,1,0,1,4110,36,
122,1,4,2,5,1,6,1,1,0,0,0,0,3,4110,36,
198,5,5,3,1,1,1,3,1,0,1,2,0,3,4110,36,
346,1,4,2,9,1,4,1,1,0,0,0,0,3,4110,36,
47,3,6,3,2,1,1,1,2,0,0,2,2,3,4110,36,
98,2,1,0,6,1,3,1,1,0,1,7,0,3,4110,36,
42,2,4,3,2,1,1,1,1,0,0,1,0,1,4110,36,
255,1,5,2,5,1,6,2,1,1,0,0,1,2,4110,36,
74,2,3,1,2,1,1,1,1,0,0,1,0,3,4110,36,
42,1,2,1,9,1,4,1,1,0,0,0,0,3,4110,36,
57,2,6,2,2,1,1,1,1,0,0,2,1,1,4110,36,
119,1,4,2,9,1,4,1,1,0,0,0,1,3,4110,36,
55,1,6,3,5,1,6,3,1,0,0,0,0,2,4110,36,
33,3,6,2,1,1,1,1,1,0,1,1,0,1,4110,36,
76,1,4,1,5,1,6,1,1,0,0,0,0,3,4110,36,
59,2,6,2,7,1,3,2,1,0,0,7,0,3,4110,36,
215,4,4,2,3,1,3,1,1,0,1,7,0,3,4110,36,
70,2,2,1,4,1,5,1,1,0,0,0,0,3,4110,36,
27,4,6,3,1,1,1,1,1,0,1,1,0,1,4110,36,
37,3,6,3,1,1,1,1,1,0,1,1,0,3,4110,36,
78,6,4,2,1,1,1,1,1,0,1,2,0,3,4110,36,
225,4,4,2,1,1,1,1,1,0,1,2,0,3,4110,36,
60,5,6,3,3,1,3,1,1,0,1,7,0,3,4110,36,
38,6,4,3,2,1,1,1,1,0,1,4,2,1,4110,36,
27,4,5,3,1,1,1,1,1,0,1,1,0,1,4110,36,
185,2,4,2,4,1,7,1,1,0,0,0,0,3,4110,36,
118,2,6,3,8,1,7,1,1,0,0,0,0,3,4110,36,
48,3,7,3,2,1,1,1,1,2,0,4,2,1,4110,36,
58,3,4,2,11,1,2,1,1,0,0,5,1,3,4110,36,
182,1,4,2,5,1,6,3,1,0,0,0,1,3,4110,36,
37,1,1,0,5,1,6,1,1,0,0,0,0,3,4110,36,
229,2,5,3,2,1,1,3,1,0,0,2,0,1,4110,36,
63,4,5,4,12,1,5,1,1,0,0,0,1,3,4110,36,
50,4,4,2,1,1,1,1,1,0,1,3,0,3,4110,36,
441,5,5,2,6,1,3,1,1,0,1,7,0,3,4110,36,
66,2,5,4,6,1,3,1,1,0,1,7,0,2,4110,36,
197,1,6,3,5,1,6,1,1,0,0,0,1,2,4110,36,
31,5,6,3,1,1,1,1,1,0,1,2,0,1,4110,36,
51,2,7,3,7,1,3,1,1,1,0,7,2,2,4110,36,
59,5,5,2,2,1,1,1,1,1,1,4,1,1,4110,36,
254,2,3,1,12,1,5,1,1,0,0,0,0,3,4110,36,
61,3,11,4,2,1,1,3,1,2,0,4,2,3,4110,36,
61,2,5,2,11,1,2,1,1,0,0,5,1,2,4110,36,
55,3,4,2,7,1,3,1,1,2,0,7,2,3,4110,36,
155,1,2,0,9,1,4,1,1,0,0,0,0,3,4110,36,
70,1,3,1,5,1,6,1,1,0,0,0,0,3,4110,36,
34,2,4,1,12,1,5,1,1,1,0,0,1,2,4110,36,
66,2,5,3,2,1,1,1,1,2,0,4,2,3,4110,36,
34,4,6,3,2,1,1,1,1,0,0,4,2,3,4110,36,
68,2,5,2,2,1,1,1,1,0,0,1,0,2,4110,36,
56,3,8,4,1,1,1,1,1,0,1,4,0,2,4110,36,
54,1,4,1,5,1,6,1,1,0,0,0,0,3,4110,36,
32,6,6,3,1,1,1,1,1,0,1,2,0,3,4110,36,
81,3,3,2,1,1,1,1,1,0,1,1,0,1,4110,36,
37,2,5,2,2,1,1,1,1,0,0,1,1,1,4110,36,
103,0,7,3,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
158,1,4,2,9,1,4,1,1,0,0,0,0,3,4110,36,
74,1,3,1,9,1,4,3,1,0,0,0,0,3,4110,36,
113,1,7,3,5,1,6,1,1,0,0,0,0,2,4110,36,
63,3,4,3,2,1,1,1,1,1,0,1,2,2,4110,36,
62,2,3,1,2,1,1,1,1,0,0,1,1,3,4110,36,
45,4,5,3,2,1,1,1,1,1,0,1,1,1,4110,36,
51,2,5,2,10,1,2,1,1,0,1,5,0,3,4110,36,
47,2,6,2,2,1,1,3,1,2,0,4,2,2,4110,36,
170,0,4,1,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
39,2,3,2,2,1,1,1,1,0,0,1,0,1,4110,36,
52,1,6,4,9,1,4,1,1,0,0,0,0,2,4110,36,
45,3,8,3,4,1,3,1,1,0,0,7,0,1,4110,36,
54,1,6,3,5,1,6,1,1,1,0,0,1,2,4110,36,
56,1,5,2,9,1,4,1,1,1,0,0,1,3,4110,36,
77,1,5,2,9,1,4,1,1,0,0,0,1,3,4110,36,
30,3,6,3,7,1,3,1,1,0,0,7,0,2,4110,36,
76,3,4,2,2,1,1,1,1,0,0,2,0,3,4110,36,
42,4,6,3,1,1,1,1,1,0,1,1,0,1,4110,36,
83,3,4,2,2,1,1,1,1,1,0,2,2,3,4110,36,
38,4,5,3,2,1,1,1,1,0,0,1,0,2,4110,36,
51,4,6,3,1,1,1,1,1,0,1,1,0,1,4110,36,
58,0,6,3,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
61,1,1,0,9,1,4,1,1,0,0,0,0,3,4110,36,
82,1,4,2,5,1,6,1,1,1,0,0,1,2,4110,36,
70,3,5,3,7,1,3,3,1,1,0,8,1,3,4110,36,
72,2,5,3,11,1,2,1,1,0,0,5,0,3,4110,36,
209,4,5,3,1,1,1,1,1,0,1,2,0,3,4110,36,
71,3,4,2,1,1,1,1,1,0,1,1,0,3,4110,36,
46,1,4,2,9,1,4,2,1,1,0,0,1,2,4110,36,
87,1,3,1,9,1,4,1,1,0,0,0,0,3,4110,36,
129,2,3,2,4,1,7,1,1,0,0,0,0,3,4110,36,
38,5,7,3,1,1,1,1,1,0,1,1,0,1,4110,36,
63,1,4,2,5,1,6,1,1,0,0,0,0,3,4110,36,
68,3,4,3,12,1,5,1,1,0,0,0,0,3,4110,36,
79,4,5,2,1,1,1,1,1,0,1,2,0,1,4110,36,
267,1,4,2,9,1,4,1,1,0,0,0,0,3,4110,36,
63,2,6,3,2,1,1,1,1,2,0,4,2,1,4110,36,
96,2,1,0,4,1,7,1,1,0,0,0,0,3,4110,36